MÊS,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PRECO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PRECO MÍNIMO REVENDA,PRECO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PRECO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PRECO MÍNIMO DISTRIBUIÇÃO,PRECO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
jul.-01,ETANOL HIDRATADO,17899,R$/l,1.009,165,639,1.580,193,163,816,156,318,1.577,192
Aug-01,ETANOL HIDRATADO,28796,R$/l,1.014,173,649,1.650,208,171,806,155,400,1.342,193
Sep-01,ETANOL HIDRATADO,32994,R$/l,1.026,173,630,1.790,218,168,809,157,380,1.421,194
Oct-01,ETANOL HIDRATADO,42036,R$/l,1.039,166,650,1.880,224,160,816,150,400,1.337,184
nov.-01,ETANOL HIDRATADO,34592,R$/l,1.033,167,670,1.880,217,162,815,149,410,1.287,183
Dec-01,ETANOL HIDRATADO,38506,R$/l,1.029,166,670,1.880,213,161,816,147,400,1.338,181
jan.-02,ETANOL HIDRATADO,41454,R$/l,1.019,164,600,1.880,206,161,813,142,410,1.338,175
Feb-02,ETANOL HIDRATADO,36490,R$/l,1.010,162,679,1.880,201,160,809,142,410,1.300,176
mar.-02,ETANOL HIDRATADO,36486,R$/l,1.010,162,659,1.700,205,160,805,145,410,1.310,180
Apr-02,ETANOL HIDRATADO,45003,R$/l,1.010,158,659,1.700,208,157,801,142,320,1.310,177
May-02,ETANOL HIDRATADO,46918,R$/l,1.002,158,659,1.700,208,158,793,143,410,1.298,180
jun.-02,ETANOL HIDRATADO,36794,R$/l,991,166,537,1.700,214,167,777,157,387,1.385,202
jul.-02,ETANOL HIDRATADO,54610,R$/l,940,190,500,1.700,223,202,717,176,367,1.330,246
Aug-02,ETANOL HIDRATADO,44339,R$/l,912,181,539,1.700,223,199,689,156,377,1.330,227
Sep-02,ETANOL HIDRATADO,37893,R$/l,935,161,589,1.700,215,172,720,139,364,1.336,192
Oct-02,ETANOL HIDRATADO,39232,R$/l,1.014,140,649,1.700,209,138,804,125,379,1.336,156
nov.-02,ETANOL HIDRATADO,34131,R$/l,1.298,167,830,1.870,315,129,984,170,475,1.628,173
Dec-02,ETANOL HIDRATADO,42188,R$/l,1.313,169,799,1.970,250,129,1.063,165,490,1.879,156
jan.-03,ETANOL HIDRATADO,34542,R$/l,1.385,151,939,1.984,248,109,1.138,144,442,1.697,127
Feb-03,ETANOL HIDRATADO,34029,R$/l,1.569,181,1.099,2.490,312,116,1.257,171,505,1.987,136
mar.-03,ETANOL HIDRATADO,36919,R$/l,1.586,195,1.130,2.600,271,123,1.314,195,550,2.180,149
Apr-03,ETANOL HIDRATADO,39413,R$/l,1.562,215,1.087,2.600,254,138,1.308,209,695,2.527,159
May-03,ETANOL HIDRATADO,33844,R$/l,1.506,232,899,2.600,236,154,1.270,223,732,2.527,175
jun.-03,ETANOL HIDRATADO,37652,R$/l,1.348,299,690,2.600,234,222,1.114,288,487,2.526,258
jul.-03,ETANOL HIDRATADO,39130,R$/l,1.203,298,679,2.550,270,248,933,273,373,2.526,293
Aug-03,ETANOL HIDRATADO,33552,R$/l,1.208,252,720,2.550,288,208,920,215,431,2.180,233
Sep-03,ETANOL HIDRATADO,40369,R$/l,1.233,243,729,2.400,274,197,959,204,468,2.034,213
Oct-03,ETANOL HIDRATADO,35025,R$/l,1.201,253,690,2.400,288,211,912,211,404,1.870,231
nov.-03,ETANOL HIDRATADO,33409,R$/l,1.176,246,690,2.400,294,210,882,187,412,1.870,212
Dec-03,ETANOL HIDRATADO,41598,R$/l,1.191,229,749,2.400,280,192,911,166,483,1.870,183
jan.-04,ETANOL HIDRATADO,33157,R$/l,1.205,229,730,2.400,267,190,938,172,554,1.770,183
Feb-04,ETANOL HIDRATADO,33194,R$/l,1.170,257,559,2.400,289,220,881,219,339,1.941,248
mar.-04,ETANOL HIDRATADO,41415,R$/l,1.054,293,499,2.400,310,278,744,236,278,1.979,317
Apr-04,ETANOL HIDRATADO,33285,R$/l,1.032,263,559,2.400,302,255,730,198,297,1.891,272
May-04,ETANOL HIDRATADO,40002,R$/l,1.289,257,590,2.400,381,199,908,186,326,1.891,205
jun.-04,ETANOL HIDRATADO,52287,R$/l,1.359,237,669,2.400,379,174,980,183,340,1.871,187
jul.-04,ETANOL HIDRATADO,46315,R$/l,1.381,234,699,2.400,366,169,1.015,185,380,1.847,182
Aug-04,ETANOL HIDRATADO,55852,R$/l,1.462,225,690,2.320,350,154,1.112,188,379,1.849,169
Sep-04,ETANOL HIDRATADO,48033,R$/l,1.487,233,810,2.250,333,157,1.154,197,436,1.897,171
Oct-04,ETANOL HIDRATADO,46140,R$/l,1.534,211,869,2.484,334,138,1.200,185,436,1.878,154
nov.-04,ETANOL HIDRATADO,54839,R$/l,1.445,219,990,2.372,269,152,1.176,190,466,2.085,162
Dec-04,ETANOL HIDRATADO,48415,R$/l,1.478,242,1.050,2.372,277,164,1.201,222,466,1.993,185
jan.-05,ETANOL HIDRATADO,53931,R$/l,1.460,248,979,2.372,272,170,1.188,229,741,2.027,193
Feb-05,ETANOL HIDRATADO,43138,R$/l,1.448,254,990,2.372,206,175,1.242,237,480,2.087,191
mar.-05,ETANOL HIDRATADO,52519,R$/l,1.444,250,990,2.372,207,173,1.237,230,480,2.005,186
Apr-05,ETANOL HIDRATADO,45994,R$/l,1.451,259,999,2.372,207,178,1.244,235,480,1.966,189
May-05,ETANOL HIDRATADO,54816,R$/l,1.354,299,760,2.385,224,221,1.130,291,600,1.995,258
jun.-05,ETANOL HIDRATADO,48750,R$/l,1.210,328,759,2.385,208,271,1.002,288,512,1.975,287
jul.-05,ETANOL HIDRATADO,46050,R$/l,1.256,292,820,2.385,208,232,1.048,254,587,1.985,242
Aug-05,ETANOL HIDRATADO,29697,R$/l,1.271,286,799,2.385,211,225,1.060,249,557,1.991,235
Sep-05,ETANOL HIDRATADO,29556,R$/l,1.308,259,870,2.399,264,198,1.044,214,505,1.889,205
Oct-05,ETANOL HIDRATADO,40650,R$/l,1.434,223,949,2.372,229,156,1.205,197,701,1.979,163
nov.-05,ETANOL HIDRATADO,52504,R$/l,1.450,234,1.090,2.410,193,161,1.257,208,830,2.067,165
Dec-05,ETANOL HIDRATADO,45823,R$/l,1.536,226,1.089,2.550,199,147,1.337,197,820,2.166,147
jan.-06,ETANOL HIDRATADO,52997,R$/l,1.693,231,1.149,2.620,208,136,1.485,200,990,2.190,135
Feb-06,ETANOL HIDRATADO,39296,R$/l,1.732,238,1.290,2.650,199,137,1.533,215,1.050,2.211,140
mar.-06,ETANOL HIDRATADO,51989,R$/l,1.950,243,1.399,2.910,249,125,1.701,212,1.145,2.692,125
Apr-06,ETANOL HIDRATADO,43394,R$/l,1.943,283,1.290,3.150,223,146,1.720,267,1.099,2.952,155
May-06,ETANOL HIDRATADO,51907,R$/l,1.710,356,1.089,3.150,230,208,1.480,357,900,2.925,241
