MÊS,PRODUTO,PRECO MÉDIO REVENDA,PRECO MÉDIO DISTRIBUIÇÃO
jan.-06,GASOLINA COMUM,2.511,2.212
Feb-06,GASOLINA COMUM,2.523,2.216
mar.-06,GASOLINA COMUM,2.587,2.271
Apr-06,GASOLINA COMUM,2.595,2.287
May-06,GASOLINA COMUM,2.582,2.276
jun.-06,GASOLINA COMUM,2.545,2.246
jul.-06,GASOLINA COMUM,2.557,2.246
Aug-06,GASOLINA COMUM,2.559,2.251
Sep-06,GASOLINA COMUM,2.554,2.242
Oct-06,GASOLINA COMUM,2.547,2.230
nov.-06,GASOLINA COMUM,2.538,2.220
Dec-06,GASOLINA COMUM,2.531,2.199
jan.-07,GASOLINA COMUM,2.523,2.190
Feb-07,GASOLINA COMUM,2.516,2.183
mar.-07,GASOLINA COMUM,2.518,2.182
Apr-07,GASOLINA COMUM,2.532,2.205
May-07,GASOLINA COMUM,2.540,2.214
jun.-07,GASOLINA COMUM,2.527,2.182
jul.-07,GASOLINA COMUM,2.507,2.146
Aug-07,GASOLINA COMUM,2.487,2.131
Sep-07,GASOLINA COMUM,2.471,2.122
Oct-07,GASOLINA COMUM,2.475,2.118
nov.-07,GASOLINA COMUM,2.487,2.131
Dec-07,GASOLINA COMUM,2.509,2.156
jan.-08,GASOLINA COMUM,2.505,2.159
Feb-08,GASOLINA COMUM,2.488,2.149
mar.-08,GASOLINA COMUM,2.493,2.150
Apr-08,GASOLINA COMUM,2.493,2.155
May-08,GASOLINA COMUM,2.494,2.157
jun.-08,GASOLINA COMUM,2.490,2.156
jul.-08,GASOLINA COMUM,2.495,2.161
Aug-08,GASOLINA COMUM,2.500,2.171
Sep-08,GASOLINA COMUM,2.506,2.173
Oct-08,GASOLINA COMUM,2.508,2.177
nov.-08,GASOLINA COMUM,2.513,2.180
Dec-08,GASOLINA COMUM,2.518,2.181
jan.-09,GASOLINA COMUM,2.516,2.181
Feb-09,GASOLINA COMUM,2.518,2.181
mar.-09,GASOLINA COMUM,2.514,2.176
Apr-09,GASOLINA COMUM,2.500,2.160
May-09,GASOLINA COMUM,2.487,2.151
jun.-09,GASOLINA COMUM,2.488,2.143
jul.-09,GASOLINA COMUM,2.492,2.151
Aug-09,GASOLINA COMUM,2.498,2.159
Sep-09,GASOLINA COMUM,2.488,2.165
Oct-09,GASOLINA COMUM,2.528,2.202
nov.-09,GASOLINA COMUM,2.551,2.220
Dec-09,GASOLINA COMUM,2.556,2.225
jan.-10,GASOLINA COMUM,2.586,2.253
