MÊS,PRODUTO,REGIÃO,ESTADO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
jan.-13,ETANOL HIDRATADO,NORTE,ACRE,166,R$/l,2.552,132,2.350,3.120,367,52,2.185,126,1.624,2.474,58
jan.-13,ETANOL HIDRATADO,NORDESTE,ALAGOAS,460,R$/l,2.303,71,2.150,2.600,256,31,2.047,81,1.707,2.228,40
jan.-13,ETANOL HIDRATADO,NORTE,AMAPA,38,R$/l,2.258,48,2.150,2.320,285,21,1.973,0,1.973,1.973,0
jan.-13,ETANOL HIDRATADO,NORTE,AMAZONAS,376,R$/l,2.319,87,2.220,2.950,198,38,2.121,46,1.994,2.227,22
jan.-13,ETANOL HIDRATADO,NORDESTE,BAHIA,2029,R$/l,2.187,123,1.840,2.640,282,56,1.905,113,1.526,2.424,59
jan.-13,ETANOL HIDRATADO,NORDESTE,CEARA,945,R$/l,2.232,84,2.079,2.500,175,38,2.057,62,1.733,2.194,30
jan.-13,ETANOL HIDRATADO,CENTRO OESTE,DISTRITO FEDERAL,400,R$/l,2.271,22,2.170,2.299,403,10,1.868,104,1.544,2.041,56
jan.-13,ETANOL HIDRATADO,SUDESTE,ESPIRITO SANTO,826,R$/l,2.456,88,2.110,2.790,324,36,2.132,93,1.942,2.384,44
jan.-13,ETANOL HIDRATADO,CENTRO OESTE,GOIAS,1155,R$/l,1.939,116,1.497,2.280,259,60,1.680,88,1.460,2.057,52
jan.-13,ETANOL HIDRATADO,NORDESTE,MARANHAO,474,R$/l,2.282,146,1.969,2.720,230,64,2.052,114,1.637,2.314,56
jan.-13,ETANOL HIDRATADO,CENTRO OESTE,MATO GROSSO,687,R$/l,1.960,74,1.660,2.210,397,38,1.563,83,1.410,1.800,53
jan.-13,ETANOL HIDRATADO,CENTRO OESTE,MATO GROSSO DO SUL,653,R$/l,2.107,145,1.899,2.449,295,69,1.812,82,1.631,2.008,45
jan.-13,ETANOL HIDRATADO,SUDESTE,MINAS GERAIS,4517,R$/l,2.095,112,1.770,2.499,267,53,1.828,106,1.432,2.202,58
jan.-13,ETANOL HIDRATADO,NORTE,PARA,417,R$/l,2.426,153,2.090,3.000,270,63,2.156,103,1.760,2.298,48
jan.-13,ETANOL HIDRATADO,NORDESTE,PARAIBA,560,R$/l,2.176,75,1.977,2.430,228,34,1.948,72,1.707,2.118,37
jan.-13,ETANOL HIDRATADO,SUL,PARANA,2773,R$/l,1.974,82,1.730,2.290,236,42,1.738,58,1.442,1.968,33
jan.-13,ETANOL HIDRATADO,NORDESTE,PERNAMBUCO,1511,R$/l,2.156,123,1.920,2.680,232,57,1.924,93,1.748,2.262,48
jan.-13,ETANOL HIDRATADO,NORDESTE,PIAUI,304,R$/l,2.321,78,2.190,2.590,185,34,2.136,78,1.907,2.183,37
jan.-13,ETANOL HIDRATADO,SUDESTE,RIO DE JANEIRO,3546,R$/l,2.243,181,1.799,2.749,316,81,1.927,178,1.436,2.463,92
jan.-13,ETANOL HIDRATADO,NORDESTE,RIO GRANDE DO NORTE,541,R$/l,2.273,59,2.110,2.490,244,26,2.029,78,1.736,2.265,38
jan.-13,ETANOL HIDRATADO,SUL,RIO GRANDE DO SUL,2688,R$/l,2.382,112,2.099,2.770,284,47,2.098,76,1.708,2.346,36
jan.-13,ETANOL HIDRATADO,NORTE,RONDONIA,374,R$/l,2.365,81,2.150,2.670,279,34,2.086,95,1.924,2.235,46
jan.-13,ETANOL HIDRATADO,NORTE,RORAIMA,58,R$/l,2.561,80,2.290,2.600,333,31,2.228,86,1.897,2.342,39
jan.-13,ETANOL HIDRATADO,SUL,SANTA CATARINA,1845,R$/l,2.378,81,2.090,2.750,305,34,2.073,70,1.781,2.252,34
jan.-13,ETANOL HIDRATADO,SUDESTE,SAO PAULO,11736,R$/l,1.829,99,1.479,2.499,258,54,1.571,77,1.220,1.870,49
jan.-13,ETANOL HIDRATADO,NORDESTE,SERGIPE,249,R$/l,2.335,68,2.190,2.475,242,29,2.093,59,1.945,2.200,28
jan.-13,ETANOL HIDRATADO,NORTE,TOCANTINS,256,R$/l,2.156,74,1.990,2.390,316,34,1.840,114,1.703,2.096,62
jan.-13,GASOLINA COMUM,NORTE,ACRE,260,R$/l,3.128,152,3.020,3.500,510,49,2.618,122,2.472,2.890,47
jan.-13,GASOLINA COMUM,NORDESTE,ALAGOAS,456,R$/l,2.779,71,2.599,2.980,399,26,2.380,37,2.305,2.512,16
jan.-13,GASOLINA COMUM,NORTE,AMAPA,170,R$/l,2.722,162,2.530,3.100,311,60,2.411,51,2.316,2.611,21
jan.-13,GASOLINA COMUM,NORTE,AMAZONAS,601,R$/l,2.891,126,2.750,3.380,429,44,2.462,52,2.320,2.630,21
jan.-13,GASOLINA COMUM,NORDESTE,BAHIA,2061,R$/l,2.825,83,2.479,3.149,458,29,2.367,68,2.185,2.665,29
jan.-13,GASOLINA COMUM,NORDESTE,CEARA,1049,R$/l,2.722,120,2.550,3.030,337,44,2.385,33,2.283,2.563,14
jan.-13,GASOLINA COMUM,CENTRO OESTE,DISTRITO FEDERAL,400,R$/l,2.830,21,2.710,2.890,441,7,2.389,18,2.319,2.425,8
jan.-13,GASOLINA COMUM,SUDESTE,ESPIRITO SANTO,914,R$/l,2.814,103,2.590,3.092,336,37,2.478,60,2.330,2.680,24
jan.-13,GASOLINA COMUM,CENTRO OESTE,GOIAS,1146,R$/l,2.786,108,2.559,3.199,343,39,2.443,80,2.317,2.835,33
jan.-13,GASOLINA COMUM,NORDESTE,MARANHAO,676,R$/l,2.755,132,2.420,3.190,340,48,2.415,132,2.295,2.825,55
jan.-13,GASOLINA COMUM,CENTRO OESTE,MATO GROSSO,679,R$/l,2.983,86,2.670,3.230,459,29,2.524,78,2.310,2.683,31
