MÊS,PRODUTO,REGIÃO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA,MARGEM MÉDIA REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
jan.-13,ETANOL HIDRATADO,CENTRO OESTE,2895,R$/l,2.005,160,1.497,2.449,316,80,1.689,136,1.410,2.057,81
jan.-13,ETANOL HIDRATADO,NORDESTE,7073,R$/l,2.208,120,1.840,2.720,245,54,1.963,118,1.526,2.424,60
jan.-13,ETANOL HIDRATADO,NORTE,1685,R$/l,2.323,170,1.990,3.120,265,73,2.058,113,1.624,2.475,55
jan.-13,ETANOL HIDRATADO,SUDESTE,20625,R$/l,1.889,229,1.479,2.790,264,121,1.625,202,1.220,2.463,124
jan.-13,ETANOL HIDRATADO,SUL,7306,R$/l,2.085,231,1.730,2.770,252,111,1.833,202,1.442,2.346,110
jan.-13,GASOLINA COMUM,CENTRO OESTE,2880,R$/l,2.834,113,2.559,3.230,410,40,2.424,73,2.302,2.835,30
jan.-13,GASOLINA COMUM,NORDESTE,7740,R$/l,2.746,110,2.400,3.190,382,40,2.364,73,2.185,2.825,31
jan.-13,GASOLINA COMUM,NORTE,2802,R$/l,2.898,161,2.530,3.580,418,56,2.480,93,2.290,2.890,38
jan.-13,GASOLINA COMUM,SUDESTE,20839,R$/l,2.732,157,2.229,3.899,373,57,2.359,127,2.080,2.895,54
jan.-13,GASOLINA COMUM,SUL,7729,R$/l,2.777,93,2.350,3.279,400,33,2.377,54,2.202,2.648,23
jan.-13,GLP,CENTRO OESTE,4636,R$/13kg,42.185,4.855,34.000,59.000,7.325,115,34.860,4.457,26.810,45.000,128
jan.-13,GLP,NORDESTE,6338,R$/13kg,38.105,3.725,26.000,50.000,9.776,98,28.329,4.193,20.570,41.000,148
jan.-13,GLP,NORTE,3569,R$/13kg,41.439,4.602,30.000,62.000,9.151,111,32.288,4.681,19.170,40.980,145
jan.-13,GLP,SUDESTE,16982,R$/13kg,40.479,3.471,28.000,53.000,11.457,86,29.022,3.401,15.000,39.500,117
jan.-13,GLP,SUL,8072,R$/13kg,40.765,3.139,30.000,50.000,9.455,77,31.310,2.918,16.140,41.000,93
jan.-13,GNV,CENTRO OESTE,35,R$/m3,1.974,91,1.790,2.190,256,46,1.718,224,1.400,1.913,130
jan.-13,GNV,NORDESTE,577,R$/m3,1.813,111,1.450,2.369,463,61,1.350,135,1.071,1.822,100
jan.-13,GNV,NORTE,3,R$/m3,1.950,0,1.950,1.950,262,0,1.688,0,1.688,1.688,0
jan.-13,GNV,SUDESTE,1407,R$/m3,1.658,160,1.379,2.599,370,97,1.288,156,835,1.780,121
jan.-13,GNV,SUL,379,R$/m3,1.944,120,1.399,2.339,427,62,1.517,83,1.228,1.599,55
jan.-13,OLEO DIESEL,CENTRO OESTE,2611,R$/l,2.257,137,1.990,2.670,218,61,2.039,96,1.847,2.327,47
jan.-13,OLEO DIESEL,NORDESTE,5902,R$/l,2.111,75,1.890,2.399,203,36,1.908,61,1.728,2.126,32
jan.-13,OLEO DIESEL,NORTE,2442,R$/l,2.285,168,1.990,2.950,259,74,2.026,89,1.795,2.570,44
jan.-13,OLEO DIESEL,SUDESTE,16124,R$/l,2.126,80,1.869,2.724,230,38,1.896,62,1.398,2.157,33
jan.-13,OLEO DIESEL,SUL,5670,R$/l,2.141,82,1.869,2.660,240,38,1.901,50,1.769,2.216,26
jan.-13,OLEO DIESEL S10,CENTRO OESTE,262,R$/l,2.398,149,2.039,2.950,234,62,2.164,86,1.940,2.470,40
jan.-13,OLEO DIESEL S10,NORDESTE,1550,R$/l,2.182,65,2.039,2.529,202,30,1.980,45,1.874,2.134,23
jan.-13,OLEO DIESEL S10,NORTE,390,R$/l,2.315,142,2.090,2.750,226,61,2.089,52,1.994,2.326,25
jan.-13,OLEO DIESEL S10,SUDESTE,1681,R$/l,2.243,78,1.990,2.600,270,35,1.973,62,1.800,2.246,31
jan.-13,OLEO DIESEL S10,SUL,858,R$/l,2.236,88,2.019,2.530,247,39,1.989,56,1.883,2.150,28
Feb-13,ETANOL HIDRATADO,CENTRO OESTE,2418,R$/l,2.046,146,1.650,2.599,298,71,1.748,142,1.320,2.122,81
Feb-13,ETANOL HIDRATADO,NORDESTE,5878,R$/l,2.272,117,1.920,2.999,267,51,2.005,113,1.583,2.319,56
Feb-13,ETANOL HIDRATADO,NORTE,1440,R$/l,2.368,175,1.999,3.150,306,74,2.062,181,1.532,2.601,88
Feb-13,ETANOL HIDRATADO,SUDESTE,16939,R$/l,1.932,222,1.480,2.790,264,115,1.668,196,1.300,2.515,118
Feb-13,ETANOL HIDRATADO,SUL,5895,R$/l,2.123,225,1.789,2.960,254,106,1.869,197,1.568,2.596,105
Feb-13,GASOLINA COMUM,CENTRO OESTE,2407,R$/l,2.972,116,2.590,3.350,457,39,2.515,68,2.292,2.877,27
Feb-13,GASOLINA COMUM,NORDESTE,6484,R$/l,2.885,116,2.520,3.349,438,40,2.447,87,2.227,2.899,36
Feb-13,GASOLINA COMUM,NORTE,2385,R$/l,3.012,165,2.530,3.580,459,55,2.553,93,2.300,2.890,36
Feb-13,GASOLINA COMUM,SUDESTE,17120,R$/l,2.846,151,2.390,3.899,399,53,2.447,119,2.095,2.965,49
Feb-13,GASOLINA COMUM,SUL,6268,R$/l,2.912,96,2.449,3.490,449,33,2.463,63,2.179,2.738,26
