Estado;Bacia;Nome Poço;Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
Rio Grande do Norte;Potiguar;7-ARG-525-RN;7ARG525RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;0;0;0;0;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-517-RN;7ARG517RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;8,2634;0;8,2634;728;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-526-RN;7ARG526RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;8,0004;0;8,0004;730;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-527-RN;7ARG527RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;24,8358;0;24,8358;730;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-528-RN;7ARG528RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;2,4106;0;2,4106;744;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-529-RN;7ARG529RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;13,0098;0;13,0098;730;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-535-RN;7ARG535RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;7,2493;0;7,2493;730;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-530-RN;7ARG530RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;5,1428;0;5,1428;730;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-186-RN;7ARG 0186  RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;1,1372;0;1,1372;700;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-532-RN;7ARG532RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;0;0;0;0;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
