Estado;Bacia;Nome Poço;Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Tempo de Produção (hs por mês)
Rio Grande do Norte;Potiguar;7-ET-401-RN;7ET  0401  RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;3-BRSA-1210-RN;3ET1050RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,8056;0;1,8056;720
Rio Grande do Norte;Potiguar;7-ET-403-RN;7ET  0403  RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1138-RN;7ET1138RN;ESTREITO;Petrobras;4,8E+14;2020/11;16,5521;0;16,5521;720
Rio Grande do Norte;Potiguar;7-ET-1139-RN;7ET1139RN;ESTREITO;Petrobras;4,8E+14;2020/11;11,6611;0;11,6611;697
Rio Grande do Norte;Potiguar;7-ET-1148-RN;7ET1148RN;ESTREITO;Petrobras;4,8E+14;2020/11;11,1621;0;11,1621;720
Rio Grande do Norte;Potiguar;7-ET-1150-RN;7ET1150RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,5556;0;0,5556;720
Rio Grande do Norte;Potiguar;7-ET-1406D-RN;7ET1406DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-RP-94-RN;7RP  0094  RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1394D-RN;7ET1394DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0,5101;0;0,5101;720
Rio Grande do Norte;Potiguar;7-ET-1397D-RN;7ET1397DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1396D-RN;7ET1396DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1412D-RN;7ET1412DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1405D-RN;7ET1405DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0,5101;0;0,5101;720
Rio Grande do Norte;Potiguar;7-ET-1411D-RN;7ET1411DRN;ESTREITO;Petrobras;4,8E+14;2020/11;1,5314;0;1,5314;720
Rio Grande do Norte;Potiguar;7-ET-1408D-RN;7ET1408DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0,716;0;0,716;720
Rio Grande do Norte;Potiguar;7-ET-1414D-RN;7ET1414DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;3-BRSA-1224-RN;3ET1420RN;ESTREITO;Petrobras;4,8E+14;2020/11;2,7346;0;2,7346;719
Rio Grande do Norte;Potiguar;7-ET-1308D-RN;7ET1308DRN;ESTREITO;Petrobras;4,8E+14;2020/11;5,1044;0;5,1044;720
Rio Grande do Norte;Potiguar;7-ET-1317D-RN;7ET1317DRN;ESTREITO;Petrobras;4,8E+14;2020/11;3,5732;0;3,5732;720
Rio Grande do Norte;Potiguar;7-ET-1399-RN;7ET1399RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,7919;0;0,7919;720
Rio Grande do Norte;Potiguar;7-ET-1314D-RN;7ET1314DRN;ESTREITO;Petrobras;4,8E+14;2020/11;26,9925;0;26,9925;720
Rio Grande do Norte;Potiguar;7-ET-1391-RN;7ET1391RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1323D-RN;7ET1323DRN;ESTREITO;Petrobras;4,8E+14;2020/11;21,4392;0;21,4392;720
Rio Grande do Norte;Potiguar;7-ET-1395-RN;7ET1395RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1322D-RN;7ET1322DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0,7001;0;0,7001;720
Rio Grande do Norte;Potiguar;7-ET-1403-RN;7ET1403RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,5101;0;0,5101;720
Rio Grande do Norte;Potiguar;7-ET-1330D-RN;7ET1330DRN;ESTREITO;Petrobras;4,8E+14;2020/11;11,9668;0;11,9668;720
Rio Grande do Norte;Potiguar;7-ET-1402-RN;7ET1402RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1332D-RN;7ET1332DRN;ESTREITO;Petrobras;4,8E+14;2020/11;3,6106;0;3,6106;719
Rio Grande do Norte;Potiguar;7-ET-1410-RN;7ET1410RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1409-RN;7ET1409RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,5101;0;0,5101;720
Rio Grande do Norte;Potiguar;7-ET-1331D-RN;7ET1331DRN;ESTREITO;Petrobras;4,8E+14;2020/11;13,782;0;13,782;720
Rio Grande do Norte;Potiguar;7-ET-1401-RN;7ET1401RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1342D-RN;7ET1342DRN;ESTREITO;Petrobras;4,8E+14;2020/11;3,5732;0;3,5732;720
Rio Grande do Norte;Potiguar;7-ET-1398-RN;7ET1398RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
